life_history,Taxon,Habitat,Phylum,Class,Family,Genus,Species,Name,High_acc_temp,Low_acc_temp,Acc_window,proximity_high_acc_ctmax,Source,ctmax,ctmax_ARR,duration,latitude,longitude,Metric,ramping,abs_latitude,Latitudinal_bin,min_latitudinal_bin,Hemisphere,Abs_northern_distribution,Abs_southern_distrib,min_hemisphere_lim,max_hemisphere_lim,lat_range_size,mid_latitude,mean_env_temp,max_env_temp,Ctmax_now,TSM,time_loss_TSM_4.5,time_loss_TSM_8.5,time_gained_with_acclimation_4.5,time_gained_with_acclimation_8.5,percent_increase_TSM,Error_checked,Reference,doi,Jstor_ref,ref,url,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Amphibia,Bufonidae,Anaxyrus,nelsoni,Anaxyrus nelsoni,30.0,5.0,25.0,6.2,wild,36.2,0.0,17,37,-73,crit,60.0,37,mid,37.5,N,38,36,36,38,2,37,30.9,35.9,36.2,0.3,15.1,9.1,0.5,0.3,3,17/02/2017,Brattstrom 1968,doi: 10.1016/0010-406X(68)90961-4,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Reptilia,Colubridae,Thamnophis,s. concinnus,Thamnophis sirtalis,32.0,8.0,24.0,7.2,wild,39.2,0.0,5,45,-123,crit,1.0,45,mid,37.5,N,48,25,25,48,23,37,27.1,32.1,39.0,6.9,289.8,176.7,10.9,6.6,4,5/04/2017,Stewart 1965,,http://www.jstor.org/stable/3890597,,,,,,,,,,
adult,aquatic invertebrates,freshwater,Arthropoda,Insecta,Corixidae,Sigara,lateralis,Sigara lateralis,15.0,10.0,5.0,30.8,wild,45.8,0.0,3,37,-6,crit,60.0,37,mid,37.5,N,60,36,36,60,24,48,32.9,32.9,46.5,13.6,620.3,373.3,24.8,14.9,4,10/02/2017,Coccia et al.2013,doi:10.1371/journal.pone.0063105,,,,,,,,,,,
adult,aquatic invertebrates,marine,Arthropoda,Arachnida,Podacaridae,Halozetes,marionensis,Halozetes marionensis,5.0,0.0,5.0,32.4,wild,37.4,0.0,7,-46,37,crit,10.0,46,mid,37.5,S,-46,-53,46,53,7,50,6.5,8.2,37.5,29.2,2034.9,1208.9,81.4,48.4,4,10/02/2017,Deere et al 2006,doi:10.1016/j.jinsphys.2006.03.009 ,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Reptilia,Lacertidae,Eremias,argus,Eremias argus,38.0,28.0,10.0,5.7,wild,43.7,0.0,21,36,111,crit,15.0,36,mid,37.5,N,46,36,36,46,10,41,30.0,36.0,43.4,7.4,282.9,171.6,11.3,6.9,4,11/04/2017,Hong et al 2009,,,"Current Zoology, 2009, 55(4): 258 - 265",,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Reptilia,Lacertidae,Takydromus,stejnegeri,Takydromus stejnegeri,30.0,20.0,10.0,13.8,wild,43.8,0.0,14,25,121,crit,45.0,25,low,12.5,N,28,23,23,28,5,26,31.8,38.7,43.9,5.2,267.9,169.5,10.7,6.8,4,11/04/2017,"Huang et al., 2008",doi: org/10.1016/j.jtherbio.2007.09.007,,,,,,,,,,,
adult,aquatic invertebrates,marine,Arthropoda,Crustacea,Porcellanidae,Petrolisthes,gracilis,Petrolisthes gracilis,35.0,15.0,20.0,6.6,wild,41.6,0.0,28,31,-114,crit(heart begins to fail),6.0,31,mid,37.5,N,31,15,15,31,16,23,23.4,31.0,41.1,10.1,356.6,210.5,14.3,8.4,4,15/04/2017,Stillman2004,,,"Int Cong Ser 1275, 267-274",,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Reptilia,Agamidae,Phrynocephalus,versicolor,Phrynocephalus versicolor,38.0,28.0,10.0,9.0,wild,47.0,0.0,21,42,107,crit,15.0,42,mid,37.5,N,50,40,40,50,11,45,29.5,34.6,46.7,12.1,400.4,245.3,16.0,9.8,4,15/04/2017,Wang et al 2013,doi: 10.3724/SP.J.1245.2013.00214,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Reptilia,Colubridae,Thamnophis,ordinoides,Thamnophis ordinoides,32.0,8.0,24.0,6.3,wild,38.3,0.0,5,45,-123,crit,1.0,45,mid,37.5,N,50,36,36,50,14,43,27.1,32.1,38.8,6.7,279.8,170.6,12.8,7.8,4,5/04/2017,Stewart 1965,,http://www.jstor.org/stable/3890597,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Reptilia,Scincidae,Lygosoma,quoyi,Lygosoma quoyi,20.0,10.0,10.0,17.2,wild,37.2,0.1,10,-37,146,crit,1.0,37,mid,37.5,S,-17,-37,17,37,21,27,27.6,33.6,37.6,4.0,216.8,128.0,10.8,6.4,5,9/04/2017,"Brattstrom, 1971",,,"Copeia 3, 554-557",,,,,,,,,
